lat,lon,time_min,time_max,surface_time,depth_min,depth_max,num_points,steric,Mooring_ID
36.674637836928135,-122.53859261754168,9651089.0,9656161.0,9651384,-499.9367,-0.009926356,1454,-16.77483064089237,ru38
36.673680660872435,-122.56124310611072,9656161.0,9660925.0,9660591,-499.8377,-2.9679596,1481,-15.401125357629574,ru38
36.66818849850665,-122.5856330986902,9661887.273999872,9666833.273999872,9662166,-499.84787,-0.029779082,1407,-14.845432384756588,ru38
36.665659380595976,-122.60890093451576,9666833.273999872,9671477.273999872,9671165,-499.90738,-2.8786259,1462,-15.037776074296549,ru38
36.661235086841884,-122.63490341391548,9672015.0,9676973.0,9672331,-499.71945,-0.019852733,1435,-14.666952724364288,ru38
36.65795160715427,-122.65984729731294,9676973.0,9681655.0,9681348,-499.89783,-2.8488493,1405,-14.911458413765482,ru38
36.65387708080206,-122.68849592043617,9682227.008,9687155.008,9682520,-499.8485,-0.009926375,1414,-14.118873440837529,ru38
36.65304670459343,-122.7152435084295,9687155.008,9691785.008,9691476,-499.81882,-3.057301,1422,-15.389605784369188,ru38
36.65085739684282,-122.7472740370637,9692418.0,9697938.0,9692736,-499.6803,-0.0,1395,-14.52578384588319,ru38
36.65031913272583,-122.77764144589128,9697938.0,9703082.0,nan,nan,nan,0,nan,ru38
36.649776388068496,-122.80823899052268,9703082.0,9708686.0,nan,nan,nan,0,nan,ru38
36.64923902573955,-122.83853310327116,9708686.0,9713720.0,9713412,-499.73978,-3.3054578,1397,-13.661194738855912,ru38
36.64448728081003,-122.86834227519829,9714464.0,9719848.0,9714742,-499.70038,-0.009926381,1399,-14.084514305280097,ru38
36.638862093849625,-122.89084126307041,9719848.0,9724900.0,nan,nan,nan,0,nan,ru38
36.63310285478856,-122.91387570436314,9724900.0,9730534.0,nan,nan,nan,0,nan,ru38
36.62730596047954,-122.93706075020434,9730534.0,9735656.0,9735367,-499.88928,-2.799226,1392,-14.008741062815297,ru38
36.62135185408508,-122.96225347906834,9736492.0,9741404.0,9736734,-499.81033,-0.009926402,1248,-13.295026218849179,ru38
36.61754002696202,-122.98439709806527,9741404.0,9745720.0,nan,nan,nan,0,nan,ru38
36.613707812780184,-123.00665867664277,9745720.0,9750682.0,nan,nan,nan,0,nan,ru38
36.609861396107824,-123.02900275840085,9750682.0,9755032.0,9754781,-499.85043,-3.4146585,1182,-14.431199439519066,ru38
36.60538706171182,-123.0513861071761,9755662.0,9760660.0,9755921,-499.85065,-0.019852834,1306,-14.097089658414097,ru38
36.6007851740131,-123.07221250426207,9760660.0,9765022.0,nan,nan,nan,0,nan,ru38
36.59619309198581,-123.0929901770358,9765022.0,9769998.0,nan,nan,nan,0,nan,ru38
36.591519384102725,-123.11413718017246,9769998.0,9774524.0,9774273,-499.77203,-3.0672445,1218,-12.920550604927433,ru38
36.585874949435954,-123.13525529439924,9775226.0,9780136.0,9775469,-499.60394,-0.03970573,1293,-12.630700192868288,ru38
36.58267168595089,-123.15559711450494,9780136.0,9784450.0,nan,nan,nan,0,nan,ru38
36.57939733913002,-123.17639205971311,9784450.0,9789564.0,nan,nan,nan,0,nan,ru38
